2013 area unit name,WGS84 longitude of centroid of area unit,WGS84 latitude of centroid of area unit
Kawhia Community,174.81997,-38.06439
Kelburn,174.76412,-41.28714
Kelson,174.94699,-41.16697
Kelston Central,174.6653,-36.89879
Kelvin Grove,175.64778,-40.32779
Kelvin Heights,168.71374,-45.0408
Kenmure,170.4665,-45.88685
Kennedys Bush,172.60053,-43.60809
Kensington,174.31494,-35.70739
Kerepehi,175.54517,-37.29995
Kerikeri,173.95131,-35.22561
Khandallah Park-Broadmeadows,174.78664,-41.2357
Kihikihi,175.35031,-38.03831
Kihikihi Flat,175.34473,-38.02475
Kilbirnie East,174.79988,-41.31917
Kilbirnie West-Hataitai South,174.79298,-41.31208
Kilkenny,174.92597,-36.92702
Kingdale,174.63047,-36.85486
Kingsbury,172.58747,-43.29019
Kingseat,174.83833,-37.13268
Kingsland,174.74418,-36.87239
Kingsley-Chatham,176.77891,-39.61429
Kingston South,168.51302,-45.19619
Kingston-Mornington,174.76429,-41.32137
Kingswell-Clifton,168.36756,-46.4472
Kinleith,175.88583,-38.25702
Kinloch,175.93218,-38.65664
Kirks,173.27627,-41.27807
Kirwee,172.16716,-43.52839
Kiwitea,175.79491,-39.95613
Kohimarama East,174.84906,-36.8602
Kohimarama West,174.84173,-36.85607
Kohitere,175.24332,-40.63798
Kohukohu,173.53563,-35.36301
Kohuora,174.83988,-36.97977
Koitiata,175.14004,-40.07191
Konini,174.64373,-36.92919
Kopuaranga,175.62952,-40.81038
Korokoro,174.8666,-41.21557
Koutu,176.23828,-38.12269
Kowhai Park,175.06129,-39.92179
Kuirau,176.24928,-38.13509
Kumara,171.1815,-42.63177
Kumeu East,174.57564,-36.7707
Kumeu West,174.52493,-36.77453
Kuratau,175.66626,-38.85968
Kurow,170.47325,-44.73959
Laingholm,174.63044,-36.96378
Laird Park,175.04512,-39.92063
Lake Alice,175.29121,-40.10918
Lake Brunner,171.58962,-42.66891
Lake Cameron,175.30945,-37.86141
Lake Hayes,168.81433,-44.97938
Lake Hayes South,168.78261,-45.00508
Lake Horowhenua,175.23393,-40.58978
Lake Ngaroto,175.28569,-37.97633
Lake Pupuke,174.76516,-36.77196
Lake Rotoroa,172.46359,-41.88573
Lake Tekapo,170.47269,-44.00755
Lake Tennyson,172.81709,-42.34089
Lakewood,176.05143,-38.68412
Lambton,174.77463,-41.28571
Langbein,173.2242,-41.30812
Lansdowne,175.6765,-40.94241
Lawrence,169.68826,-45.9169
Leabank,174.88852,-37.03274
Leamington East,175.4795,-37.90958
Leamington West,175.46296,-37.90558
Leeston,172.29656,-43.76199
Lehmans,172.57328,-43.30856
Leigh,174.80376,-36.29295
Leithfield,172.60715,-43.12978
Lepperton,174.20567,-39.06799
Levels,171.08172,-44.30482
Levin East,175.29977,-40.62011
Levin North,175.28361,-40.61208
Levin South,175.28516,-40.63733
Levin West,175.27029,-40.62331
Lichfield,175.87226,-38.14732
Lincoln,172.48404,-43.64237
Linden,174.83149,-41.15725
Linton Military Camp,175.58043,-40.40739
Linwood,172.65903,-43.52975
Linwood East,172.68177,-43.53083
